#
# ETF名单 (允许申赎的ETF名单)
# - 只有在名单中且 tradable 大于0的ETF才允许申赎
#
# 1. ETF申赎代码 (EtfId)
# 2. ETF买卖代码 (SecurityId)
# 3. 交易市场 (Market)
#    - 1    上海A股
#    - 2    深圳A股
# 4. 可交易标志 (tradable)
#    - 0        不可申赎
#    - 1        可以申赎
#

#EtfId |SecurityId |Market |tradable
510011 |510010     |1      |1
510031 |510030     |1      |1
510051 |510050     |1      |1
510061 |510060     |1      |1
510091 |510090     |1      |1
510151 |510150     |1      |1
510181 |510180     |1      |1
510191 |510190     |1      |1
510211 |510210     |1      |1
510261 |510260     |1      |1
510291 |510290     |1      |1
510301 |510300     |1      |1
510331 |510330     |1      |1
510361 |510360     |1      |1
510501 |510500     |1      |1
510521 |510520     |1      |1
510561 |510560     |1      |1
510631 |510630     |1      |1
510651 |510650     |1      |1
510661 |510660     |1      |1
510681 |510680     |1      |1
510801 |510800     |1      |1
510811 |510810     |1      |1
510881 |510880     |1      |1
512001 |512000     |1      |1
512121 |512120     |1      |1
512181 |512180     |1      |1
512311 |512310     |1      |1
512331 |512330     |1      |1
512341 |512340     |1      |1
512511 |512510     |1      |1
512581 |512580     |1      |1
512681 |512680     |1      |1
512801 |512800     |1      |1
512811 |512810     |1      |1
512981 |512980     |1      |1
512991 |512990     |1      |1
159901 |159901     |2      |1
159902 |159902     |2      |1
159907 |159907     |2      |1
159912 |159912     |2      |1
159913 |159913     |2      |1
159916 |159916     |2      |1
159928 |159928     |2      |1
159929 |159929     |2      |1
159930 |159930     |2      |1
159931 |159931     |2      |1
159933 |159933     |2      |1
159936 |159936     |2      |1
159938 |159938     |2      |1
159939 |159939     |2      |1
159940 |159940     |2      |1
159944 |159944     |2      |1
159945 |159945     |2      |1
159948 |159948     |2      |1
159949 |159949     |2      |1
159952 |159952     |2      |1
159953 |159953     |2      |1
159957 |159957     |2      |1
